company_name,company_market,company_city,company_category_list,total_funding,investor_rating,company_max_round,keyword_clusters,final_cluster
Affinity Circles,Software,Sunnyvale,|Career Management|Alumni|Social Recruiting|Software|,5.540,7,3,22,9
BlackArrow,Advertising,San Jose,|Advertising|,59.763,9.79,3,8,72
Snocap,Games,San Francisco,|Content|Social Network Media|Peer-to-Peer|Games|,25.000,10,3,7,17
SiBEAM,Mobile,Sunnyvale,|Semiconductors|Mobile|,113.750,10,4,4,43
Eurekster,Social Media,San Francisco,|Social Media|,6.850,8,2,7,88
PostPath,Messaging,Mountain View,|Messaging|,24.300,10,3,17,32
CipherMax,Security,San Jose,|Security|,141.536,10,2,12,97
BiPar Sciences,Health and Wellness,Brisbane,|Health and Wellness|Biotechnology|,73.000,10,3,18,5
Mu Dynamics,Web Hosting,Sunnyvale,|Web Hosting|,24.000,10,3,28,12
3Leaf,Web Hosting,Santa Clara,|Web Hosting|,65.000,10,3,28,89
NextBio,Enterprise Software,Santa Clara,|Enterprise Software|,16.100,10,3,1,47
ITM Software,Software,Santa Clara,|Software|,10.000,10,4,6,1
Knowlent,Software,Santa Clara,|Software|,3.600,7.75,2,6,1
Altierre,Wireless,San Jose,|Wireless|Education|Mobile|,85.100,10,6,20,92
Lala,Music,Palo Alto,|Music|,44.150,9.89,3,16,16
Meez,Games,San Francisco,|Messaging|3D|Entertainment|Games|,10.200,10,3,17,32
Code Green Networks,Enterprise Software,Sunnyvale,|Enterprise Software|,34.000,10,3,1,22
Zmanda,Software,Sunnyvale,|Software|,13.000,10,2,6,1
PeerMe,Games,Mountain View,|VoIP|Games|,5.000,7,1,3,29
Wink,Search,Mountain View,|Search|,6.200,10,1,19,33
Ample Communications,Hardware + Software,Fremont,|Hardware + Software|,10.500,10,0,10,21
BlueArc,Web Hosting,San Jose,|Web Hosting|,221.000,9.9,5,28,74
Apieron,Biotechnology,Menlo Park,|Medical Devices|Biotechnology|Health Care|,43.500,10,4,0,80
ooma,Peer-to-Peer,Palo Alto,|Peer-to-Peer|Social Media|VoIP|Mobile|Hardware + Software|,81.313,10,4,22,0
Exavio,Games,Santa Clara,|Games|,10.000,9.88,3,3,29
Aggregate Knowledge,Advertising,San Mateo,|Advertising|,74.312,9.8,5,8,72
Workday,Technology,Pleasanton,|Technology|World Domination|Colleges|Finance|SaaS|Human Resources|Web Development|Enterprise Software|,175.000,10,6,22,58
A10 Networks,Communications Hardware,San Jose,|Communications Hardware|Technology|Security|Virtualization|Cloud Computing|Optimization|SEO|Hardware|Networking|Web Hosting|,118.000,9.77,3,24,93
Five9,Technology,San Ramon,|Technology|Enterprise Software|,114.100,9.83,4,1,82
Jangl SMS,Audio,Pleasanton,|Email|Audio|Messaging|,9.000,8.88,2,17,32
The Fanfare Group,Enterprise Software,Mountain View,|Enterprise Software|,34.085,10,2,1,22
Gemini Mobile Technologies,Mobile,San Mateo,|Mobile|,32.500,9,2,5,99
Turn,Advertising,Redwood City,|Search|Advertising|,137.500,10,5,19,77
FireEye,Network Security,Milpitas,|Network Security|Security|,823.716,10,6,12,85
Mercora,Curated Web,Sunnyvale,|Curated Web|,5.000,10,1,9,6
Stream Processors,Semiconductors,Sunnyvale,|Semiconductors|,38.000,10,0,4,75
HopeLab,Nonprofits,Redwood City,|Health and Wellness|Technology|Nonprofits|,9.000,10,0,18,5
CrestaTech,Software,Santa Clara,|Software|,20.885,10,1,6,1
Ad Infuse,Mobile,San Francisco,|Mobile|Advertising|,17.600,10,2,8,23
Cellfire,Coupons,San Jose,|Digital Media|Coupons|Mobile|,26.000,10,3,22,94
Savvy Cellar Wines,Hospitality,Redwood City,|Retail|Hospitality|E-Commerce|,0.300,2,0,22,9
Mozilla,Open Source,Mountain View,|Open Source|Browser Extensions|Curated Web|,2.300,10,0,22,9
RGB Networks,Games,Sunnyvale,|Video Streaming|Logistics|Games|,72.000,10,4,27,38
Vertical Circuits,Semiconductors,Scotts Valley,|Semiconductors|,7.000,9.5,2,4,20
Applied Identity,Advertising,San Francisco,|Advertising|,33.000,10,3,8,23
XenSource,Software,Palo Alto,|Software|,38.000,10,3,6,84
Vocent,Software,Mountain View,|Software|,6.400,9.5,3,6,1
Chelsio Communications,Web Hosting,Sunnyvale,|Web Hosting|,79.000,9.89,6,28,89
Be Here,Web Hosting,Fremont,|Web Hosting|,5.000,10,1,28,12
Venturi Wireless,Mobile,Sunnyvale,|Mobile|,10.000,10,3,5,13
LiteScape Technologies,Software,Redwood Shores,|Software|,26.500,10,2,6,84
Razz,Music,San Francisco,|Music|,10.000,9.57,2,16,16
Devicescape,Mobile,San Bruno,|Location Based Services|Mac|Home & Garden|Linux|iPhone|Android|Software|Wireless|Mobile|,26.812,10,2,22,94
WhereNet,Hardware + Software,Santa Clara,|Hardware + Software|,5.000,10,0,10,21
BlueLithium,Advertising,San Jose,|Search|Advertising|,11.500,10,1,19,33
Cambrios Technologies,Nanotechnology,Sunnyvale,|Nanotechnology|,60.820,9.8,4,22,61
Blue Lane Technologies,Web Hosting,Cupertino,|Web Hosting|,13.400,10,2,28,12
"TheFind, Inc.",E-Commerce,Mountain View,|Mobile|Local|Search|Shopping|E-Commerce|,26.000,10,3,19,33
MeeVee,Games,Burlingame,|Video|Games|,25.000,9.29,4,27,38
Voxify,Enterprise Software,Alameda,|Enterprise Software|,33.000,10,4,1,22
FilmLoop,Software,Menlo Park,|Software|,12.600,10,2,6,1
Kapow Software,Data Integration,Palo Alto,|Enterprise Software|Data Integration|Big Data|Software|,19.744,10,3,22,94
Mobilitec,Software,San Mateo,|Software|,12.100,9.25,3,6,1
Location Labs,Security,Emeryville,|Location Based Services|Security|Mobile|,25.800,10,2,22,94
Codenomicon,Security,Cupertino,|Security|,3.600,9.5,1,12,67
Five Prime Therapeutics,Health Care,San Francisco,|Health Care|Health and Wellness|Biotechnology|,145.540,9.83,0,18,50
Pionetics,Clean Technology,San Carlos,|Clean Technology|,6.400,10,3,11,14
TriCipher,Enterprise Software,Los Gatos,|Enterprise Software|,40.100,10,4,1,22
eSilicon,Semiconductors,Sunnyvale,|Semiconductors|,67.042,9.67,6,4,75
Traverse Networks,Web Hosting,San Ramon,|Web Hosting|,8.500,10,2,28,12
Palamida,Security,San Francisco,|Security|,18.500,10,3,12,67
FibroGen,Biotechnology,San Francisco,|Biotechnology|,106.023,10,0,2,49
Solidcore Systems,Software,Cupertino,|Software|,40.000,10,4,6,84
Perlegen Sciences,Biotechnology,Mountain View,|Biotechnology|,74.000,9.6,4,2,3
Peerflix,Entertainment,Palo Alto,|Entertainment|Advertising|,10.000,10,2,8,23
Movaris,Software,San Jose,|Software|,16.000,10,3,6,1
Optichron,Semiconductors,Fremont,|Semiconductors|,29.000,10,2,4,20
Baynote,Reviews and Recommendations,San Jose,|Search|Web Design|Reviews and Recommendations|Software|,32.496,9.89,4,19,33
4INFO,Advertising,San Mateo,|Mobile Advertising|Mobile|Information Technology|Local|CRM|Big Data|Advertising|,70.288,9.63,5,8,72
Kaboodle,Shopping,Sunnyvale,|Shopping|E-Commerce|,5.000,8.91,3,7,88
MessageCast,Messaging,Palo Alto,|Messaging|,1.500,10,1,17,32
Pheedo,Advertising,Oakland,|Advertising|,6.600,10,1,8,23
Arroyo Video Solutions,Games,Pleasanton,|Games|,12.000,10,3,3,29
CITTIO,Software,San Francisco,|Software|,11.500,10,2,6,1
Valchemy,Software,San Mateo,|Software|,8.500,8.5,2,6,1
Transparency Software,Software,Palo Alto,|Software|,12.050,10,1,6,1
G2 Microsystems,Hardware + Software,Campbell,|Hardware + Software|,21.850,9.88,2,10,21
Good Technology,Data Security,Sunnyvale,|Data Security|Mobile Security|Mobile Enterprise|Mobility|Information Security|Analytics|Software|,291.297,10,5,12,65
Codefast,Software,San Jose,|Software|,6.500,10,1,6,1
NeoScale Systems,Security,Milpitas,|Security|,12.000,10,4,12,67
deCarta,Software,San Jose,|Software|,56.063,9.77,4,6,84
Vhayu Technologies,Enterprise Software,Los Gatos,|Enterprise Software|,10.250,10,3,1,47
Elixir Medical,Health Care,Sunnyvale,|Health Care|,5.300,10,1,0,8
Vontu,Software,San Francisco,|Software|,20.000,9.44,4,6,1
OuterBay Technologies,Software,Cupertino,|Software|,12.000,10,3,6,1
Nominum,Sales and Marketing,Redwood City,|Internet|Network Security|Sales and Marketing|Analytics|,41.000,9.67,4,22,61
Encentuate,Enterprise Software,Foster City,|Enterprise Software|,16.000,9.67,2,1,47
Loyalty Lab,Software,San Francisco,|Software|,11.000,10,2,6,1
ReVera,Semiconductors,Santa Clara,|Semiconductors|,11.200,10,2,4,20
Reply! Inc.,Advertising,San Ramon,|Lead Generation|Internet Marketing|Advertising|,84.590,9.71,3,22,0
Cast Iron Systems,Software,Mountain View,|Software|,33.000,10,6,6,84
Lexar Media,Hardware + Software,Fremont,|Hardware + Software|,60.000,9.5,0,10,73
B-Bridge International,Biotechnology,Cupertino,|Biotechnology|,4.200,7.33,0,2,46
Delivery Agent,E-Commerce,San Francisco,|E-Commerce|,138.442,10,5,7,71
newScale,Enterprise Software,San Mateo,|Enterprise Software|,28.200,9.75,4,1,22
GroundWork,Virtualization,San Francisco,|Cloud Management|Virtualization|Data Centers|Cloud Computing|Software|,26.000,10,4,24,11
Noosh,Software,Mountain View,|Software|,3.625,10,0,6,1
Prosper,Personal Finance,San Francisco,|Marketplaces|Credit|Personal Finance|Peer-to-Peer|Crowdfunding|Finance|,189.900,9.94,5,14,95
ARIO Data Networks,Hardware + Software,San Jose,|Hardware + Software|,13.050,9.67,5,10,21
Grandis,Semiconductors,Milpitas,|Semiconductors|,10.020,10,0,4,20
Apigee,Cloud Data Services,Palo Alto,|Cloud Data Services|Enterprise Software|,173.000,9.97,6,24,57
Nimblefish Technologies,Advertising,San Francisco,|Advertising|,12.950,10,0,8,23
Talima Therapeutics,Biotechnology,San Carlos,|Biotechnology|,21.000,10,2,2,46
SAY Media,Publishing,San Francisco,|Publishing|Media|Video|Advertising|,60.900,10,4,27,38
AtHoc,Email,San Mateo,|Email|Enterprise Software|Security|,8.200,10,2,12,67
Trapeze Networks,Wireless,Pleasanton,|Wireless|Security|,47.500,9.83,4,12,28
Applied MicroStructures,Manufacturing,San Jose,|Manufacturing|,10.750,10,2,29,56
Teros,Security,Santa Clara,|Security|,8.000,10,4,12,67
Network Chemistry,Software,Palo Alto,|Software|,6.000,9.5,1,6,1
Laszlo Systems,Unifed Communications,San Mateo,|Android|Social Media|User Experience Design|Mobile|Internet|Apps|Unifed Communications|Messaging|,39.890,10,3,22,61
Kazeon,Software,Mountain View,|Software|,41.000,9.8,6,6,84
BeVocal,Web Hosting,Mountain View,|Web Hosting|,10.000,10,5,28,12
BeamExpress,Web Hosting,Sunnyvale,|Web Hosting|,30.860,10,3,28,12
InnerWorkings,Outsourcing,San Francisco,|Outsourcing|Software|,12.960,10,1,22,94
Ingrian Networks,Privacy,Redwood City,|Privacy|Security|,15.400,10,4,12,67
Bivio Networks,Security,Pleasanton,|Security|,40.800,9.88,4,12,28
BDNA,Software,Mountain View,|Software|,35.870,10,4,6,84
Xelerated,Semiconductors,Santa Clara,|Semiconductors|,53.000,9.86,5,4,75
T-RAM Semiconductor,Semiconductors,Mountain View,|Semiconductors|,40.000,10,3,4,75
Derceto,Software,San Francisco,|Software|,2.190,8,0,6,1
Solexa,Biotechnology,Hayward,|Biotechnology|,172.500,9.5,0,2,24
Infoblox,Technology,Santa Clara,|Technology|Security|,30.000,9.8,5,12,67
BayPackets,Software,Fremont,|Software|,14.000,10,4,6,1
Topio,Enterprise Software,Santa Clara,|Enterprise Software|,16.000,10,4,1,47
Purfresh,Clean Technology,Menlo Park,|Clean Technology|,65.700,10,4,11,70
Nanosolar,Clean Technology,San Jose,|Clean Technology|Nanotechnology|,520.000,9.91,4,11,19
PANTA Systems,Enterprise Software,Santa Clara,|Enterprise Software|,9.500,9.5,0,1,47
Mixercast,Web Tools,San Mateo,|Web Tools|Curated Web|,12.700,10,3,9,6
SpikeSource,Software,Mountain View,|Software|,68.000,10,3,6,51
PeakStream,Software,Redwood City,|Software|,22.000,10,2,6,1
Adamas Pharmaceuticals,Health Care,Emeryville,|Health Care|,82.000,10,4,0,66
Clarus Systems,Software,Redwood City,|Software|,8.330,10,2,6,1
netZentry,Security,Palo Alto,|Security|,6.000,10,1,12,67
Mindjet,Chat,San Francisco,|Chat|Document Management|Video Conferencing|Collaboration|Software|,25.000,9.67,2,27,38
Avidia,Biotechnology,Mountain View,|Pharmaceuticals|Medical|Biotechnology|,72.300,10,3,22,0
Entrisphere,Web Hosting,Santa Clara,|Web Hosting|,75.000,10,3,28,89
Turbine,Games,Redwood City,|Social Games|Games|,76.600,10,3,3,98
Arcot Systems,Security,Sunnyvale,|Security|,42.000,10,2,12,28
Novariant,Technology,Fremont,|Technology|Gps|Industrial|Mechanical Solutions|,60.500,9.64,4,22,61
Adchemy,Advertising,Foster City,|Advertising|,119.191,9.91,5,8,72
Anacor Pharmaceutical,Health Care,Palo Alto,|Health Care|Biotechnology|,191.500,9.6,5,0,42
Cellerant Therapeutics,Biotechnology,San Carlos,|Biotechnology|,96.245,8.57,2,2,49
Leverage Software,Enterprise Software,San Francisco,|Networking|Enterprise Software|,6.000,7,1,26,87
IPextreme,Semiconductors,Campbell,|Semiconductors|,6.000,9.5,1,4,20
SkyPilot Networks,Web Hosting,Santa Clara,|Web Hosting|,68.400,10,4,28,89
Voltage Security,Databases,Cupertino,|Databases|Data Security|Security|,27.625,10,4,12,67
Blurb,E-Commerce,San Francisco,|Collaboration|Marketplaces|Textbooks|Publishing|E-Commerce|,21.550,10,3,21,31
VaST Systems Technology,Software,Sunnyvale,|Software|,24.000,9.71,4,6,84
Shenick Network Systems,Web Hosting,Milpitas,|Web Hosting|,3.250,10,2,28,12
IdenTrust,Security,San Francisco,|Security|,20.000,10,2,12,67
Like.com,Search,San Mateo,|Photography|Search|,47.300,9.86,3,19,33
Force10 Networks,E-Commerce,San Jose,|E-Commerce|,116.168,10,5,7,71
Bay Microsystems,Web Hosting,San Jose,|Web Hosting|,8.400,10,4,28,12
NetBase Solutions,Analytics,Mountain View,|Analytics|Semantic Search|Enterprise Search|Social Media|,51.600,9.7,4,19,77
Nomis Solutions,Finance,San Bruno,|Finance|,21.000,10,3,14,27
Vudu,Television,Santa Clara,|Television|Games|,36.000,9.14,2,3,29
Jasper,Internet of Things,Mountain View,|SaaS|Internet of Things|M2M|Cloud Computing|Mobile|,102.000,4,6,24,93
PicksPal,Games,Mountain View,|Sports|Games|,15.000,10,3,3,29
Loomia,Curated Web,San Francisco,|Ediscovery|Reviews and Recommendations|Curated Web|,7.500,9.6,1,22,9
Above All Software,Software,Redwood City,|Software|,2.100,9.5,0,6,1
Loopt,Networking,Mountain View,|Location Based Services|Networking|Mobile|,39.106,10,2,26,4
Reddit,News,San Francisco,|Social Media|News|,50.100,9.63,2,7,71
ONStor,Web Hosting,Campbell,|Web Hosting|,70.250,10,6,28,89
Global Locate,Semiconductors,San Jose,|Semiconductors|,33.000,9.2,5,4,75
GuardianEdge Technologies,Enterprise Software,San Mateo,|Enterprise Software|,19.500,10,2,1,47
Zenprise,Mobile Devices,Redwood City,|Mobile Devices|Mobile Security|Mobility|Mobile|,64.630,10,5,5,99
PortAuthority Technologies,Software,Palo Alto,|Software|,31.400,9.67,4,6,84
Crossbow Technologies,Manufacturing,Milpitas,|Manufacturing|,13.020,10,3,29,56
Clear Shape Technologies,Software,Santa Clara,|Software|,5.000,9,2,6,1
Pixim,Video,Mountain View,|Video|Hardware + Software|,52.332,9.73,2,10,73
Right Hemisphere,Enterprise Software,Pleasanton,|Enterprise Software|,22.000,9.67,2,1,47
Tilera,Semiconductors,San Jose,|Semiconductors|,127.523,9.75,4,4,43
Tectura,Software,Redwood City,|Software|,10.000,9.5,0,6,1
Meru Networks,Communications Hardware,Sunnyvale,|Communications Hardware|Technology|Mobile|,163.600,9.92,5,22,58
Jacent Technologies,Software,Santa Clara,|Software|,13.700,8.88,2,6,1
Planitax,Finance,Alameda,|Finance|,17.500,10,3,14,27
Federated Media,Content,San Francisco,|Brand Marketing|Business Development|Content|Digital Media|Advertising|,57.450,9,3,22,61
Level 5 Networks,Semiconductors,Sunnyvale,|Semiconductors|,30.000,9.75,2,4,20
Syndera Corporation,Software,Redwood City,|Software|,10.000,10,2,6,1
Xceive,Semiconductors,Santa Clara,|Semiconductors|,50.983,9.75,3,4,75
Proofpoint,Software,Sunnyvale,|Software|Technology|Enterprise Software|,59.000,9.88,5,1,22
Analogix Semiconductor,Semiconductors,Santa Clara,|Semiconductors|,39.400,10,2,4,75
Beceem Communications,Semiconductors,Santa Clara,|Semiconductors|,69.600,10,4,4,75
Slide,Photography,San Francisco,|Software|Social Network Media|Photography|Web Tools|Public Relations|,78.000,10,4,7,71
Solstice Neurosciences,Biotechnology,South San Francisco,|Biotechnology|,93.000,10,2,2,49
Zazzle,Video on Demand,Redwood City,|Video on Demand|E-Commerce|,46.000,10,2,27,38
Mevio,Video Streaming,San Francisco,|Video Streaming|Games|,48.900,10,3,27,38
SearchMe,Visual Search,San Francisco,|Visual Search|Search|,46.914,9.53,5,19,33
TimeBridge,Collaboration,Mountain View,|Collaboration|Online Scheduling|Meeting Software|Curated Web|,12.400,10,2,22,94
DisplayLink,Semiconductors,Palo Alto,|Semiconductors|Hardware + Software|,86.650,9.92,4,10,73
U4EA Wireless,Mobile,Pittsburg,|Mobile|,19.300,9.75,4,5,99
NeoPhotonics,Semiconductors,San Jose,|Semiconductors|Web Hosting|,154.674,9.93,3,28,89
Cenzic,Security,Campbell,|Security|,16.000,10,3,12,67
MetaLINCS,Messaging,San Jose,|Messaging|,8.750,10,1,17,32
SeeControl,Analytics,Redwood City,|Analytics|,5.118,9.4,1,13,39
ConSentry Networks,Consulting,Milpitas,|Consulting|,46.400,10,4,22,61
"WaveMaker, Inc.",PaaS,Mountain View,|Cloud Computing|Enterprise Software|PaaS|Web Development|Open Source|,15.920,9.67,2,24,63
Jaspersoft,Software,San Francisco,|Open Source|Analytics|Web Development|Business Intelligence|Software|,43.500,9.95,4,22,61
ZoomSystems,Hardware + Software,San Francisco,|Hardware + Software|,87.000,10,5,10,73
Aceva Technologies,Enterprise Software,San Mateo,|Enterprise Software|,5.280,10,4,1,47
Kace Networks,Software,Mountain View,|Software|,11.000,10,2,6,1
Infotone Communications,Software,Redwood City,|Software|,5.000,10,1,6,1
Alien Technology,Semiconductors,Morgan Hill,|Semiconductors|,247.377,9.75,6,4,91
Current Media,Web Hosting,San Francisco,|News|Web Hosting|,15.000,8,1,28,12
DRC Computer,Hardware + Software,Sunnyvale,|Hardware + Software|,0.500,7,0,10,21
GoingOn,Enterprises,San Francisco,|Social Media|Enterprises|Networking|Software|,8.500,8.67,1,26,87
VeriSilicon Holdings,Cloud Computing,Santa Clara,|Cloud Computing|Manufacturing|,100.948,9.83,4,29,89
LimeLife,Advertising,Menlo Park,|Advertising|Mobile Advertising|Mobile|News|,20.900,10,2,8,23
mSpot,Music,Palo Alto,|Music|,2.330,10,1,16,16
QSecure,Security,Los Altos,|Security|,49.000,9.79,4,12,28
TrueDemand Software,Software,Los Gatos,|Software|,16.700,10,3,6,1
Ecrio,Software,Cupertino,|Software|,27.000,9.73,3,6,84
PacketHop,Consumer Electronics,Redwood City,|Automotive|Mobile|Networking|Consumer Electronics|Web Hosting|,10.000,10,3,26,87
Centrify,Identity Management,Santa Clara,|Identity Management|Security|SaaS|,94.000,9.94,5,12,28
Com2uS Corp.,Games,Menlo Park,|Games|,8.000,10,1,3,29
Simple Star,Photography,San Francisco,|Photography|,7.100,9,1,22,9
Cortina Systems,Hardware,Sunnyvale,|Hardware|Software|Semiconductors|Hardware + Software|,162.000,10,4,10,40
Dune Networks,Semiconductors,Sunnyvale,|Semiconductors|,2.000,10,0,4,20
Skytide,Video Streaming,Oakland,|Video|Video Streaming|Analytics|,6.000,10,1,27,62
NetDevices,Software,Sunnyvale,|Software|,25.000,10,2,6,84
Transera Communications,Software,Sunnyvale,|Software|,37.000,10,4,6,84
Alloptic,Public Relations,Livermore,|Public Relations|,38.000,9.33,5,22,61
Agiliance,Security,Sunnyvale,|Security|,23.955,9.7,2,12,67
ClairMail,Mobile Payments,San Rafael,|Mobile Commerce|Mobile Payments|Banking|Mobile|Finance|,34.100,10,4,23,55
Adiana,Biotechnology,Redwood City,|Biotechnology|,23.000,9.89,4,2,46
Generic Media,Software,Palo Alto,|Software|,2.500,10,0,6,1
Allux Medical,Health Care,Menlo Park,|Health Care|,6.400,10,0,0,8
Canesta,Hardware + Software,Sunnyvale,|Hardware + Software|,34.000,9.53,0,10,73
Pacific Biosciences,Biotechnology,Menlo Park,|Biotechnology|,255.220,9.97,6,2,24
Discera,Semiconductors,San Jose,|Semiconductors|,47.311,9.87,4,4,75
Ceon,Software,Redwood City,|Software|,5.040,10,0,6,1
fabrik,Flash Storage,San Mateo,|Flash Storage|File Sharing|Storage|Hardware + Software|,51.300,9.75,4,22,61
BitTorrent,Peer-to-Peer,San Francisco,|Peer-to-Peer|Apps|Software|,40.750,10,3,22,61
Trulia,Peer-to-Peer,San Francisco,|Marketplaces|Peer-to-Peer|Mobile|Real Estate|,255.100,9.38,4,22,52
Coupons.com,Advertising,Mountain View,|Advertising|Coupons|Curated Web|,276.760,10,5,9,35
Box,File Sharing,Los Altos,|SaaS|Cloud Computing|Storage|Flash Storage|File Sharing|Web Hosting|,564.060,9.98,6,24,44
if(we),Social Media,San Francisco,|Social Media|,28.702,10,1,7,17
Visto,Mobile,Sunnyvale,|Mobile|,156.000,9.93,0,5,79
Quellan,Semiconductors,Santa Clara,|Semiconductors|,34.232,9.5,3,4,75
Business Engine,Software,San Francisco,|Software|,4.000,10,0,6,1
LGC Wireless,Public Relations,San Jose,|Public Relations|,13.000,9.54,2,22,94
CollabNet,Enterprise Software,Brisbane,|Enterprise Software|,12.000,9.6,2,1,47
Vendavo,Enterprises,Mountain View,|Enterprises|B2B|Software|,15.000,10,5,22,94
Mendocino Software,Software,Fremont,|Software|,19.700,10,2,6,1
Zyme Solutions,Hardware,Redwood Shores,|Hardware|Hardware + Software|,12.040,10,1,10,21
Zinio,News,San Francisco,|Publishing|Digital Media|News|,27.000,10,1,22,94
Tempo Payments,Software,San Mateo,|Software|,20.000,9.73,4,6,1
Glimmerglass Networks,Web Hosting,Hayward,|Web Hosting|,21.046,10,0,28,12
