company_name,company_market,company_city,company_category_list,company_city,total_funding,investor_rating,company_max_round,keyword_clusters,final_cluster
BeVocal,Web Hosting,Mountain View,|Web Hosting|,Mountain View,10.0,10.0,5.0,28,12
BeamExpress,Web Hosting,Sunnyvale,|Web Hosting|,Sunnyvale,30.86,10.0,3.0,28,12
InnerWorkings,Outsourcing,San Francisco,|Outsourcing|Software|,San Francisco,12.96,10.0,1.0,22,94
Ingrian Networks,Privacy,Redwood City,|Privacy|Security|,Redwood City,15.4,10.0,4.0,12,67
Bivio Networks,Security,Pleasanton,|Security|,Pleasanton,40.8,9.875,4.0,12,28
BDNA,Software,Mountain View,|Software|,Mountain View,35.869729,10.0,4.0,6,84
Xelerated,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,53.0,9.857142857142858,5.0,4,75
T-RAM Semiconductor,Semiconductors,Mountain View,|Semiconductors|,Mountain View,40.0,10.0,3.0,4,75
Derceto,Software,San Francisco,|Software|,San Francisco,2.19,8.0,0.0,6,1
Solexa,Biotechnology,Hayward,|Biotechnology|,Hayward,172.5,9.5,0.0,2,24
Infoblox,Technology,Santa Clara,|Technology|Security|,Santa Clara,30.0,9.8,5.0,12,67
BayPackets,Software,Fremont,|Software|,Fremont,14.0,10.0,4.0,6,1
Topio,Enterprise Software,Santa Clara,|Enterprise Software|,Santa Clara,16.0,10.0,4.0,1,47
Purfresh,Clean Technology,Menlo Park,|Clean Technology|,Menlo Park,65.7,10.0,4.0,11,70
Nanosolar,Clean Technology,San Jose,|Clean Technology|Nanotechnology|,San Jose,520.0,9.909090909090908,4.0,11,19
PANTA Systems,Enterprise Software,Santa Clara,|Enterprise Software|,Santa Clara,9.5,9.5,0.0,1,47
Mixercast,Web Tools,San Mateo,|Web Tools|Curated Web|,San Mateo,12.7,10.0,3.0,9,6
SpikeSource,Software,Mountain View,|Software|,Mountain View,68.0,10.0,3.0,6,51
PeakStream,Software,Redwood City,|Software|,Redwood City,22.0,10.0,2.0,6,1
Adamas Pharmaceuticals,Health Care,Emeryville,|Health Care|,Emeryville,82.0,10.0,4.0,0,66
Clarus Systems,Software,Redwood City,|Software|,Redwood City,8.33,10.0,2.0,6,1
netZentry,Security,Palo Alto,|Security|,Palo Alto,6.0,10.0,1.0,12,67
Mindjet,Chat,San Francisco,|Chat|Document Management|Video Conferencing|Collaboration|Software|,San Francisco,25.0,9.666666666666666,2.0,27,38
Avidia,Biotechnology,Mountain View,|Pharmaceuticals|Medical|Biotechnology|,Mountain View,72.3,10.0,3.0,22,0
Entrisphere,Web Hosting,Santa Clara,|Web Hosting|,Santa Clara,75.0,10.0,3.0,28,89
Turbine,Games,Redwood City,|Social Games|Games|,Redwood City,76.6,10.0,3.0,3,98
Arcot Systems,Security,Sunnyvale,|Security|,Sunnyvale,42.0,10.0,2.0,12,28
Novariant,Technology,Fremont,|Technology|Gps|Industrial|Mechanical Solutions|,Fremont,60.5,9.642857142857142,4.0,22,61
Adchemy,Advertising,Foster City,|Advertising|,Foster City,119.191,9.909090909090908,5.0,8,72
Anacor Pharmaceutical,Health Care,Palo Alto,|Health Care|Biotechnology|,Palo Alto,191.5,9.6,5.0,0,42
Cellerant Therapeutics,Biotechnology,San Carlos,|Biotechnology|,San Carlos,96.244927,8.571428571428571,2.0,2,49
Leverage Software,Enterprise Software,San Francisco,|Networking|Enterprise Software|,San Francisco,6.0,7.0,1.0,26,87
IPextreme,Semiconductors,Campbell,|Semiconductors|,Campbell,6.0,9.5,1.0,4,20
SkyPilot Networks,Web Hosting,Santa Clara,|Web Hosting|,Santa Clara,68.4,10.0,4.0,28,89
Voltage Security,Databases,Cupertino,|Databases|Data Security|Security|,Cupertino,27.625,10.0,4.0,12,67
Blurb,E-Commerce,San Francisco,|Collaboration|Marketplaces|Textbooks|Publishing|E-Commerce|,San Francisco,21.55,10.0,3.0,21,31
VaST Systems Technology,Software,Sunnyvale,|Software|,Sunnyvale,24.0,9.714285714285714,4.0,6,84
Shenick Network Systems,Web Hosting,Milpitas,|Web Hosting|,Milpitas,3.25,10.0,2.0,28,12
IdenTrust,Security,San Francisco,|Security|,San Francisco,20.0,10.0,2.0,12,67
Like.com,Search,San Mateo,|Photography|Search|,San Mateo,47.3,9.857142857142858,3.0,19,33
Force10 Networks,E-Commerce,San Jose,|E-Commerce|,San Jose,116.167782,10.0,5.0,7,71
Bay Microsystems,Web Hosting,San Jose,|Web Hosting|,San Jose,8.4,10.0,4.0,28,12
NetBase Solutions,Analytics,Mountain View,|Analytics|Semantic Search|Enterprise Search|Social Media|,Mountain View,51.6,9.7,4.0,19,77
Nomis Solutions,Finance,San Bruno,|Finance|,San Bruno,21.0,10.0,3.0,14,27
Vudu,Television,Santa Clara,|Television|Games|,Santa Clara,36.0,9.142857142857142,2.0,3,29
Jasper,Internet of Things,Mountain View,|SaaS|Internet of Things|M2M|Cloud Computing|Mobile|,Mountain View,102.0,4.0,6.0,24,93
PicksPal,Games,Mountain View,|Sports|Games|,Mountain View,15.0,10.0,3.0,3,29
Loomia,Curated Web,San Francisco,|Ediscovery|Reviews and Recommendations|Curated Web|,San Francisco,7.5,9.6,1.0,22,9
Above All Software,Software,Redwood City,|Software|,Redwood City,2.1,9.5,0.0,6,1
Loopt,Networking,Mountain View,|Location Based Services|Networking|Mobile|,Mountain View,39.105997,10.0,2.0,26,4
Reddit,News,San Francisco,|Social Media|News|,San Francisco,50.1,9.625,2.0,7,71
ONStor,Web Hosting,Campbell,|Web Hosting|,Campbell,70.25,10.0,6.0,28,89
Global Locate,Semiconductors,San Jose,|Semiconductors|,San Jose,33.0,9.2,5.0,4,75
GuardianEdge Technologies,Enterprise Software,San Mateo,|Enterprise Software|,San Mateo,19.5,10.0,2.0,1,47
Zenprise,Mobile Devices,Redwood City,|Mobile Devices|Mobile Security|Mobility|Mobile|,Redwood City,64.63,10.0,5.0,5,99
PortAuthority Technologies,Software,Palo Alto,|Software|,Palo Alto,31.4,9.666666666666666,4.0,6,84
Crossbow Technologies,Manufacturing,Milpitas,|Manufacturing|,Milpitas,13.02,10.0,3.0,29,56
Clear Shape Technologies,Software,Santa Clara,|Software|,Santa Clara,5.0,9.0,2.0,6,1
Pixim,Video,Mountain View,|Video|Hardware + Software|,Mountain View,52.332109,9.733333333333333,2.0,10,73
Right Hemisphere,Enterprise Software,Pleasanton,|Enterprise Software|,Pleasanton,21.999969,9.666666666666666,2.0,1,47
Tilera,Semiconductors,San Jose,|Semiconductors|,San Jose,127.522596,9.75,4.0,4,43
Tectura,Software,Redwood City,|Software|,Redwood City,10.0,9.5,0.0,6,1
Meru Networks,Communications Hardware,Sunnyvale,|Communications Hardware|Technology|Mobile|,Sunnyvale,163.6,9.91891891891892,5.0,22,58
Jacent Technologies,Software,Santa Clara,|Software|,Santa Clara,13.7,8.875,2.0,6,1
Planitax,Finance,Alameda,|Finance|,Alameda,17.5,10.0,3.0,14,27
Federated Media,Content,San Francisco,|Brand Marketing|Business Development|Content|Digital Media|Advertising|,San Francisco,57.45,9.0,3.0,22,61
Level 5 Networks,Semiconductors,Sunnyvale,|Semiconductors|,Sunnyvale,30.0,9.75,2.0,4,20
Syndera Corporation,Software,Redwood City,|Software|,Redwood City,10.0,10.0,2.0,6,1
Xceive,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,50.983427,9.75,3.0,4,75
Proofpoint,Software,Sunnyvale,|Software|Technology|Enterprise Software|,Sunnyvale,59.0,9.875,5.0,1,22
Analogix Semiconductor,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,39.4,10.0,2.0,4,75
Beceem Communications,Semiconductors,Santa Clara,|Semiconductors|,Santa Clara,69.6,10.0,4.0,4,75
Slide,Photography,San Francisco,|Software|Social Network Media|Photography|Web Tools|Public Relations|,San Francisco,78.0,10.0,4.0,7,71
Solstice Neurosciences,Biotechnology,South San Francisco,|Biotechnology|,South San Francisco,93.0,10.0,2.0,2,49
Zazzle,Video on Demand,Redwood City,|Video on Demand|E-Commerce|,Redwood City,46.0,10.0,2.0,27,38
